0 0 1 0 1
0 1 1 1 1
0 2 1 2 1
0 3 1 3 1
0 4 1 4 1
0 5 1 5 1
0 6 1 6 1
0 7 1 7 1
0 8 1 8 1
0 9 1 9 1
1 0 2 0 1
1 1 1.5403 1.84147 1
1 2 0.583853 1.2432 1
1 3 0.0100075 3.41212 1
1 4 0.346356 3.7121 1
1 5 1.28366 4.86765 1
1 6 1.96017 5.00822 1
1 7 1.7539 6.04625 1
1 8 0.8545 8.92003 1
1 9 0.0888697 8.37011 1
2 0 3 0 1
2 1 1.58385 1.9093 1
2 2 1.34636 2.98936 1
2 3 2.96017 2.24901 1
2 4 1.8545 4.55143 1
2 5 1.16093 4.73763 1
2 6 2.84385 6.25382 1
2 7 2.13674 6.42662 1
2 8 1.04234 8.72104 1
2 9 2.66032 8.02155 1
